Id,Review,Label,Label5,Label2,Label_Name
38,Very well documented course.Assignments are designed such a way that it stimulates you to think out of box.,5,4,2,Very Positive
39,Very Good Informative Course.!!,5,4,2,Very Positive
40,Excellent course. I completely enjoyed it. Thank you Vishal and team.,5,4,2,Very Positive
41,It opened up my understanding of what could be accomplished with 3D printing,5,4,2,Very Positive
42,"Important information on copy rights, patents, etc.",4,3,2,Positive
43,"Progress is in a state of flux, so one must reach out to the best in academia on any particular subject to get a realistic update of technology. This course will help you catch up to design thinking and doing. Get it and do it.",5,4,2,Very Positive
44,A really challenging and enriching course about the amazing world of 3D Printing. In this course you will discover the unimaginable amount of applications that 3D Printing offers and will open your mind in ways you didn't think possible!,5,4,2,Very Positive
45,"This is a really good survey class in the potential of 3d printing, with examples of how individuals can empower themselves and others without the obstacles of traditional tooling, with a relatively short learning curve and low investment. It also demonstrates the ways in which, now and increasingly in the future, we'll all be capable of designing the solutions to our own problems with increasing agility!The only thing that could make it better would be to have more design challenges!Thanks!",5,4,2,Very Positive
46,"Excellent course , enjoyed learning :)",5,4,2,Very Positive
47,Great course and very informative.,5,4,2,Very Positive
48,I'll start by saying that this course gives a good insight into a wide variety of applications of 3D printing. There are lots of interviews with people who have or are leveraging additive manufacturing in original and effective ways. The last week of the course also introduces an interesting and seemingly effective framework for design thinking.The reason that I've only rated 3 stars however is that the only useful thing you learn in this course is the design thinking framework. I think that it would be better if these videos were scattered throughout the rest of the specialisation. I do see value in including this material in the specialisation but not as an outright course.,3,2,1,Neutral
49,This course doesn't contain any new information. It does not teach you but just excitedly shows commonly known facts.There are better ways to invest your time.,1,0,0,Very Negative
50,Great course. I enjoyed learning the material.,4,3,2,Positive
51,"Excellent course. Good classes, easy to follow, updated content, high quality videos.",5,4,2,Very Positive
52,It should be merged with course 1,3,2,1,Neutral
53,Very nutritional course with real world examples that let you understand the potential of 3d printing as an emerging technology.,5,4,2,Very Positive
54,very interesting,5,4,2,Very Positive
55,"Topics related to the economy or business are not something I am good at or enjoy reading about, this course helped me learn a bunch of useful things I would otherwise not have put effort into studying.",4,3,2,Positive
56,"I was able to understand materials and devices used in 3d printing, software aspects of 3d printers and get an introductory view of cutting edge applications such as 3d printing in biomedical applications",5,4,2,Very Positive
57,"This course is very interesting, enlightening and a wonderful introduction especially for learners with no prior experience with 3D printing.",5,4,2,Very Positive
58,Great information and videos. Ready for the next step.Gus,5,4,2,Very Positive
59,"If you are interested in having a deeper insight of the 3D printing technology, I recommend this course. There are no prerequisites, all you need is the desire to learn. This course will introduce to to you the different 3D manufacturing methods, and present to you to 3D printing companies that are presently actively. If you want to transitions into the 3D printing field, I believe this course is a good start.",5,4,2,Very Positive
60,Full Individuals speaking,3,2,1,Neutral
61,It should be less repetitive and full of useful informations about applications.,3,2,1,Neutral
62,Very good inspirational examples.,5,4,2,Very Positive
63,Great course. It provided a great degree of knowledge about applications and the design process.,5,4,2,Very Positive
64,it could be easily compressed in a two-weeks course.Sometimes interviews are too long for what they need to explain.,3,2,1,Neutral
65,good introduction into the applications of 3D printing.,3,2,1,Neutral
66,good overview what you can do with this amazing technology.,5,4,2,Very Positive
67,This session was too long and a little boring. Could be shorter with the related contents.,3,2,1,Neutral
68,exemplary examples to how 3d Printing can be applied to real world problems.,5,4,2,Very Positive
69,"Great content, I still need to go over it to glean the wealth of information that has been put together here.",5,4,2,Very Positive
70,"While there is some interesting content, particuarly in the last week on design thinking, some of the course topics don't seem to hold together well, and the videos include a lot of monotonous talking heads. While this conveys the benefit of being able to listen to some of the videos without consistently watching, the interview questions asked of speakers are sometimes printed on the screen and not asked verbally. If you're not watching, you miss the questions. I would like to see this course refocused on design thinking for 3D printing, with other applications interspersed as examples rather than constituting the lion's share of the course. I believe that format would both be more engaging and do a better job of delivering skills with more opportunity for practice.",2,1,0,Negative
71,"I do not find very interesting this course. too many interviews. It could works for the first course, but not for the second. I was expecting to have more technical material and lessons.",1,0,0,Very Negative
72,"Very good in-depth look at the potential applications for 3D printing. I especially liked the sections on development and education. This class gets you thinking about the potential ramifications of 3D printing and how it can change the economy, both locally and globally.",4,3,2,Positive
73,"A good course to see the various market and non-profit aspects of 3D printing. Lot of examples and initiatives, a",5,4,2,Very Positive
74,"Excellent course, could do with a little more visual references. Some of the talks are a bit tough to get through since you are watching 2 people. Content still very valuable.",4,3,2,Positive
75,"A very complete course, very interesting!",5,4,2,Very Positive
76,Great review of what can be accomplished through 3D printing.,5,4,2,Very Positive
77,Great class!,5,4,2,Very Positive
78,"Super! I did not expect the level of engagement needed to complete the course and it was a very pleasant surprise!Being a layman in the 3D printing revolution, this course really expanded my views on 3D printing.",5,4,2,Very Positive
79,A lot of speaking without any sense. Skip it at all cost,1,0,0,Very Negative
80,"This is a very basic course on 3D Printing Technology but every aspect of the technology is artistically explained. All the various points of view are considered and a 360 degree idea is passed on to the students.By taking this course, students who are contemplating about their involvement in this revolutionary technology will be able to finally decide their future course of action, which I believe will be positive.In short, this course will provide you a base whereas the further courses, I think (as I haven't taken up the rest of the courses till now but I intend to) will add sufficient value to your knowledge.Regards.",5,4,2,Very Positive
81,Great course! Thank you!,5,4,2,Very Positive
82,"Very helpful videos that really takes you into the real world of 3D printing. The interviews with the representatives from various industries in this course helped me understand the importance of 3D printing / additive manufacturing as a convenient tool, and also where to look for related resources.",5,4,2,Very Positive
83,Great intro! The videos were fantastic and instructors very engaging.,5,4,2,Very Positive
84,Excellently framed course,5,4,2,Very Positive
85,"I like the fact that so many leaders of 3D printing came from diverse backgrounds. And they share an infectious spirit of learning and pushing the boundaries of software, hardware and materials science.",5,4,2,Very Positive
86,Great overview and introduction to 3D printing,5,4,2,Very Positive
87,"So great! If you want to overview the current situation of 3D printing technology and develop so business on 3D printing, you have to watch this",5,4,2,Very Positive
88,I thought this was a great high-level intro to the world of 3D printing.,5,4,2,Very Positive
89,Got new prospects and vision of 3D printing tech,5,4,2,Very Positive
90,"This was a great course, great implementation and motivation was provided which has definitely increased my enthusiasm and i am really looking forward to other courses to increase my skills.",5,4,2,Very Positive
91,Excellent course. Very well presented. I enjoyed not only the instruction sessions but also the interviews with other specialists in this fascinating field. A great course to inspire one to continue pursuing this as a career.,5,4,2,Very Positive
92,Very informative an approachable course. I really like the way Aric presents the information. I am excited to complete the rest of the Specialization.,5,4,2,Very Positive
93,good introduction!!!,4,3,2,Positive
94,The best course for beginners.,5,4,2,Very Positive
95,Thanks for the course! It has opened me to the world of 3D printing - on when did it start and where it is now. :),4,3,2,Positive
96,This was a great course! Aric Rindfleisch encourages enthusiasm on this new techology revolution. It gave me the fundamental basics on the matter. Furthermore now I am more interested on 3D printing than I was before starting the course. I surely follow the following Illinois University courses on 3D Printing!,5,4,2,Very Positive
97,"Great intro to 3D printing and the many, many ways it can be used.",5,4,2,Very Positive
98,Good experience to start with,4,3,2,Positive
99,Gives a nice over view about what is 3d printing.,5,4,2,Very Positive
100,This course change me the views on 3D printing and their revolution.,5,4,2,Very Positive
101,Have got a great insight towards 3D Printing.,5,4,2,Very Positive
102,Excelent! Lots of information and really interesting interviews. Plus Aric Rindfleisch is extremely clear in the lectures. Congratulations.,5,4,2,Very Positive
103,"Wow ! Learning is so easy here, bring your innovation to reality , please join this course , Highly recommended !!!!",5,4,2,Very Positive
104,"This is a great introduction to 3D printing. It covers the basics of different 3D printing technologies, from desktop to industrial hardware. It shows the resources and services available to utilise 3D printing effectively. It provides interviews with entrepreneurs and others in industry which are using this technology.",5,4,2,Very Positive
105,This course doesn't contain any new information. It does not teach you but just excitedly shows commonly known facts.There are better ways to invest your time.,1,0,0,Very Negative
106,"Fred J FeilerNov 20, 05:49 PSTChat started: 2016-11-20 01:37 PM UTC(01:37:50 PM) Fred J Feiler: We need a start date for 3D Printing Software course. The learners are concerned that this course will never happen even for those who have been enrolled since June 2016.(01:38:52 PM) Coursera Support: Thanks for reaching out to us! Someone will be right with you.(01:39:38 PM) *** Jessy joined the chat ***(01:39:54 PM) Jessy: Thanks for reaching out to us. I’d be more than happy to help you today.(01:40:29 PM) Jessy: I am very sorry for the inconveniences.(01:40:40 PM) Jessy: Please allow me a moment while I take a look into this for you Fred.(01:40:59 PM) Fred J Feiler: Thanks(01:44:54 PM) Fred J Feiler: I enrolled in the five course specialization. My momentum is at a standstill so if this course is delayed I’ll look for something better.(01:46:05 PM) Jessy: I am very sorry for the inconveniences Fred, I checked and that course does not have sessions available yet.(01:46:16 PM) Jessy: It looks like we will need some time to look into this issue further. I am going to escalate this to our support specialists so they can further investigate. This means that I will be ending this chat and it will become a support ticket email. You will receive an email transcript of our chat for your records, and someone from our support team will review our chat and email you with updates as soon as possible.(01:47:18 PM) Fred J Feiler: OK, thank you!",4,3,2,Positive
107,Excellent introduction of 3D printing. The course is well designed and engaging. Looking forward to the other courses in the series.,5,4,2,Very Positive
108,"This course was fantastic, I learned so much from it, and I am so excited to continue this track!",5,4,2,Very Positive
109,Great course. Can't wait for the next one to start,5,4,2,Very Positive
110,Not according what I expected,3,2,1,Neutral
111,2 thumbs up learned something that I have never learnt before.,5,4,2,Very Positive
112,Great course to start with 3D printing technology.,5,4,2,Very Positive
113,Great Introduction to the 3d printing world,5,4,2,Very Positive
114,a very good introductory course. as a novice in 3d printing it helped me a lot understanding the basics of 3d printing.,5,4,2,Very Positive
115,Good place to start if you don't know anything about 3D printing.,5,4,2,Very Positive
116,Very complete and extensive.The weeks actually take weeks to complete!,5,4,2,Very Positive
117,Thank you so much!,5,4,2,Very Positive
118,"Excellent information covered, very understandable with practical examples and great professors.",5,4,2,Very Positive
119,Very interesting course!,5,4,2,Very Positive
120,A very comprehensive and total introduction to basic concepts of 3d printing,5,4,2,Very Positive
121,"Excellent course, really lloking forward for the rest of the specialization!",5,4,2,Very Positive
122,Suberb introducition into 3d printing idea and usage,5,4,2,Very Positive
123,"I really liked The 3D Printing Revolution course. It's easy to understand, you don't need any background knowledge, but you will find out so much about this topic - including materials that are used, technologies, 3D printing companies... Also, the materials cover history and the future of 3D printing. It's a great introductory course and the instructor (and the guests) are amazing. I recommend it!",5,4,2,Very Positive
124,Nice introduction to 3D for absolute beginners. Very interesting interviews entrepreneurs.,4,3,2,Positive
125,Great course! The fundamentals were covered and I am excited to take the next course.,5,4,2,Very Positive
126,"It's mostly very basic stuff, but even then it introduced me to concepts I wasn't aware of.",4,3,2,Positive
127,"Great thanks for Dr.aric ,who has a smiley face ,If any one enrolled this course ,he would get a great knowledge and usefull information about 3d printing or addtive manufacturing ,throw a simple & exciting videos ,not only that ,you would get another benefits not only information about 3d priting ,like ,getting knowledge of many companies from the inside ,see stories of successfull people which achieves you to keep up with your work ,meet with your colleagues and make new friends ,and finally grow up your english skills ,like listening and grow up your vocabulary .....Great thaks for coursera team ,it's our pleasure to learn with you ........",5,4,2,Very Positive
128,Very nice introduction about 3D printing! I love it!,5,4,2,Very Positive
129,"Good introductory course, just a little bit to short for my like.Gus",4,3,2,Positive
130,I can't just not to rate this as I really enjoyed it to the max,5,4,2,Very Positive
131,"Great course. A must for every individual who has some idea about it and even if you don't, Aric and his team will guide you throughout this wonderful technique.",5,4,2,Very Positive
132,great course for learning about 3d printing and seeing where the technology has gottten to. I will be pursueing the rest of this capstone.,5,4,2,Very Positive
133,"Do not hesitate to enroll, it's a brain storming course & I like the way of the teaching here!",5,4,2,Very Positive
134,Great course delivery by the instructor! Great opportunity to meet great people! To me it was like a real journey! The course gave me a clear understanding of 3D printing in high level. Looking forward to get in -depth knowledge from further courses! I would highly recommend this course to those who wish to know about 3D printing!,5,4,2,Very Positive
135,It provides not only a good overview about 3D Printing but stimulates people who attend it to look for more. Great course to start the journe,4,3,2,Positive
136,"Geeat it give the confidence to unleash my creativity. And now I see the world with different eyes, with great opportunities to create or customize objects in 3D.",5,4,2,Very Positive
137,A very good introductory course in 3D Printing for everybody at every level.,5,4,2,Very Positive
138,Mind-blowing course!,5,4,2,Very Positive
139,Great introduction,5,4,2,Very Positive
140,I like the course. Pretty concise and straight forward. Highly recommended.,4,3,2,Positive
141,Eye and mind opening course.,5,4,2,Very Positive
142,good introduction to 3D printing,3,2,1,Neutral
143,"Very good introduction to the subject, instructor never looses the attention with new topics and examples.",5,4,2,Very Positive
144,"Great introduction, even for people who will not pursue completion of the full specialisation.",5,4,2,Very Positive
145,perfect introduction to the 3D printing world!,5,4,2,Very Positive
146,"Amazing! Very interactive, engaging and comprehensive.",5,4,2,Very Positive
147,Excellent introduction to 3D printing.,5,4,2,Very Positive
148,"Great content, the videos and talks are very motivating and they give an exciting overview of the subject. Thanks for the great work.",5,4,2,Very Positive
149,Great class!,5,4,2,Very Positive
150,very interactive and reflective course highly recommended.,5,4,2,Very Positive
151,a very good overview that makes you long for,5,4,2,Very Positive
152,"If you know little or nothing about additive, and it sounds interesting, this is a good place to start!",4,3,2,Positive
153,"An excellent course to start with, if you are completely new to 3D printing. Easy-to-understand language, very little special tech-talk, so the course is suitable for virtually anybody. t is true that you do not need to be a tech genius to get acquanted with the world of 3D printing!",5,4,2,Very Positive
154,"A good course, please provide more practice quiz in depth.",4,3,2,Positive
155,Simply very interesting.,5,4,2,Very Positive
156,Its a nice brief introduction about 3-D Printing technology.,5,4,2,Very Positive
157,Very good and helpful introduction to 3D Printing,5,4,2,Very Positive
158,Great Class!,5,4,2,Very Positive
159,it's a very good an easy to understand first inmersion in the world of 3d printing,5,4,2,Very Positive
160,"It was exactly like the lecturer said it would be like.The only hard part is the last part, where we had to actually remix an existing 3D model .I think this part of the lecturer video should have had an in depth look at how to use the 3D app.Nevertheless the course was good I learnt a lot of new stuff and not to give out any spoilers.....Its worth it.",5,4,2,Very Positive
161,A good Introduction to 3D printing.,4,3,2,Positive
162,Great information about 3d printing. It helps you to understand what is the current scope of this technology and how you can start.,5,4,2,Very Positive
163,"I didn't really care about the stories from the students or seeing the space for one whole lecture video. It's clear that Ultimaker is the sponsor, but it felt like a commercial. I want to learn more.",2,1,0,Negative
164,It's fantastic,5,4,2,Very Positive
165,Great class,5,4,2,Very Positive
166,"This first course has been an excellent overview of the field. Easy to follow and brought everything into ""perspective"" . Eagerly looking forward to the next course.",5,4,2,Very Positive
167,Excellent course! Very thorough introduction and has only peaked my curiosity to go further in understanding this powerful technology!,5,4,2,Very Positive
168,"The course was great! I think its a great point to start in 3d printing, it has lot of information, links, interviews and it easy to understand. Keep up the good work!!!",5,4,2,Very Positive
169,Very useful for understanding the basics of 3D printing technology.,5,4,2,Very Positive
170,"This is a fantastic course, even if you've never before heard of 3D printing or you've been using a 3D printer for a while, and I'd highly recommend it to anyone interested in technology or futuristic concepts.The videos in this course are very engaging. There are a plethora of interviews with people who are involved with the 3D printing industry, who discuss specific topics in 3D printing, and each offer their views on the future of 3D printing. All the different opinions and perspectives really helped me understand the importance of 3D printing at both an industry and consumer level. Considering this is an introductory course, it's very thorough, and it consolidates and summarizes information that might take you ages to glean off the internet. Even though I had a 3D printer before I took this course, I learned a lot!",5,4,2,Very Positive
171,Very good intro to 3d printed.,5,4,2,Very Positive
172,"I enjoyed this class very much. All the content was very easy to understand and follow. I love the fact that I can pick up the materials on my phone or table through the app! Is very convenient. Before this class I had no idea 3D printing had been around for so long, I thought it was someone newer, it's amazing to see all the different applications it can be use for.",5,4,2,Very Positive
173,It's not a course... this is a very short general introduction to 3D Printing,1,0,0,Very Negative
174,"Hello!My name is Ahmed from Egypt, I am 3D Hubs Mayor. I think it's The first course in the internet which will give you the opportunity to know a lot of things about 3D Printing so stay tuned and register now if you interested in 3D printing.Cheers,",5,4,2,Very Positive
175,This is a great introduction to 3d printing and the maker movement. Things I thought I knew were corrected and resources I never knew about were introduced. Very worthwhile,5,4,2,Very Positive
176,Good information but way too short for what Coursera charges.,3,2,1,Neutral
177,Practically oriented and brilliantly organized!,5,4,2,Very Positive
178,It was a perfect introductory course for those who really want to learn something about 3D-Printing. I loved it..,5,4,2,Very Positive
179,"Best place to get yourself up-to-date with the ""state-of-the-art"" in 3D printing. I really liked 'The Revolutionaries' section where you get exposure to all the inter-disciplinary ideas floating around in the 3D Printing landscape.",5,4,2,Very Positive
180,"Thank you for this course, very good course.",5,4,2,Very Positive
181,"I am very glad to see courses like this one on Coursera. The course itself is well structured and contains a lot of useful information and that is exactly what I needed in one place.My only complaint is the price of the course - I think it is a bit expensive especially for this first part of the specialisation - it is an introductory two week course with a lot of advertising...£40..common..are you serious?? A lot of people will buy personal 3D printers or kits after the course, some of them will make a decision to buy a 3D printer for a company they work for (as myself), Fusion 360 subscriptions etc. These companies should sponsor such courses to make them more affordable - it is their interest.I made several courses on Coursera already (Mechanical and Electrical Engineering), they were 5 to 8 weeks and comprised a lot of quite hard work from mentors and students and were only £32 for certificate.I like the idea of this specialisation but I decided not to pay for the certificate because of its price. Although I am very happy to have access to the courses and I thank you for you effort!",4,3,2,Positive
182,This is a really great introductory course on 3D printing. I was completely new to the subject and in just two short modules both the basic techniques and some modern day applications were explained in a really clear and engaging manner.I was also really interested to learn about the business examples that made use of these new technologies.Recommended for anyone who is interested in new and exciting techniques!,5,4,2,Very Positive
183,Great endeavor! You can now learn about the 3D printing technology at your own place.,5,4,2,Very Positive
184,An excellent course. I only wish the portion on non-financial metrics included some examples or insight in how best to quantify non-financial metrics in do,5,4,2,Very Positive
185,"week 1 and 2 were kind of boring, but maybe necessary; weeks 3 and 4 were more interesting from a business point of view (i'm not so much interested in accounting as in business decisions).the virtual class of professor Bushee was quite funny :)",4,3,2,Positive
186,"Excellent course, first 3 weeks were very technical but highly informative. Quite a bit of accounting knowledge is required to understand the work. Last week of lessons were more simple and intuitive to understand, but overall, a very insightful module",5,4,2,Very Positive
187,"First of all, I really enjoyed Professor Ittner's presentations. Sadly, his presentation was only 25% of the course. Professor Ittner was very direct but also was very engaging in how he delivered his content. I had a good feeling that I could really understand the material he was teaching. If I could give a rating for just Professor Ittner, I would give a 5 star rating. Now, this is why I am giving this course a 1 star rating. But I do have to say, going into the depths of Accounting Analytics is not easy. You really need to have a good grasp of Accounting otherwise you will get lost. Professor Bushee did not make the first 3 weeks really easy to get through. While I enjoyed his examples & case studies, he simply did not do a great job of really explaining and illustrating the concepts he was teaching. And worst of all, he setup a digitally generated classroom where he had his computer generated students ask pointless questions, make pointless statements, or answer with pointless statements/answers. I really wish I had the time to analyze how much of the course time he spent doing this, I would estimate that it's around 10% but it could very well be higher. There are so many different examples to pick form, but I'll just pick a few here. ""I didn't read the Iliad or Odyssey some I'm not going to ask you to"" in reference why in regression there are Greek letter used for coefficients (it's a fair assumption that someone taking this class understands coefficients), a 30 second exchange where a PC generate student says that they're ""stocked"" to run some regression followed by Proffessor Bushee informing us that ""we're going to run some narly regressions"", Professor Bushee saying he doesn't know how to perform Earning Management Analysis on Mars but he certainly knows how to do it on Earth, and a joke why people don't like accountants. These segments add absolutely zero value. They lengthen the time of the course. To make maters worse, I'm sure Proffessor Bushee had to spend even more time creating this additional interaction together.",1,0,0,Very Negative
188,This is the first English course I have taken.Though at first it was kind of difficulty because of language(especially the terms) and profession knowledge(it is a comprehensive course and I am still learning courses concerned at school)the course is really worth taking. I have learned a lot .and it stimulates my interest in accounting.,5,4,2,Very Positive
189,Thanks for your help.,5,4,2,Very Positive
190,"It was fast, but provided a good overview. I would like some cases to work and to apply the methods to.",5,4,2,Very Positive
191,Providing what are the insight we need to look before investing in a company and how interpret the balance sheet and found the,4,3,2,Positive
192,No practical knowledge learnd and no clear examples of the topics. Too complex all the course,1,0,0,Very Negative
193,"The course itself is good. Nevertheless, it says that it doesn't require any previous experience... But there is actually experience required on financial statements and concepts.",3,2,1,Neutral
194,Very good course but videos sometimes too long,4,3,2,Positive
195,A fantastic course,5,4,2,Very Positive
196,Really fantastic and interesting intermediate accounting course,5,4,2,Very Positive
197,"weeks 1,2 and 3 were not satisfactory according to me. the video lectures were difficult to comprehend. week 4 was very good.",2,1,0,Negative
198,this is the best course that i ever studied it,5,4,2,Very Positive
199,"I love the professors, but unfortunately, I do not feel much connection to me (not really seeing so much importance for me to identifying if a company is making fake financial statements; I am not an investor, and my everyday work does not really have so much to do with financial statements).The Managerial Accounting (week 4) transforms my mindset!! I really appreciate that. That one single week of course can literally help so many companies/NGOs. That week 4 should be promoted more!!",3,2,1,Neutral
200,"This is fantastic course. The only catch is that it doesn't have Chinese translation, which makes it a little bit more difficult for non-natives to learn. The quality is great.",5,4,2,Very Positive
201,"I have only taken one year of accounting in high school before, but the course was really easy to comprehend and engaging!",4,3,2,Positive
202,It's a very good course.,4,3,2,Positive
203,The three first weeks were almost completely dedicated to traditional finance accounting ratio analysis.,2,1,0,Negative
204,"Course was not easy to grasp, lost interest after the first week and I barely got through the quiz at the end.",2,1,0,Negative
205,"This course is difficult for me since it requires extensive background of accounting studies while my background is in HR and Strategy. However, I grasped the opportunity to make up my finance and accounting related knowledge, and passed the course finally after several times of trial and error. The professors taught the course in a very interesting and fun way, which could have been a boring class with lots of difficult and hard numbers but turns out to be a class full of fun and laughters. I like the way the two professors are presenting the knowledge, as well as doing the analysis. Thanks for providing such a course! More courses like this should be organized to benefit more professionals or students in need!",5,4,2,Very Positive
206,Very useful material to financial review of cash flow statements.,4,3,2,Positive
207,"Very informative course. Prof. Bushee is hilarious,, really like his teaching technique",5,4,2,Very Positive
208,"not a big fan of accounting honestly, but i quite enjoy the course. doesn't involve a lot of in-depth math, and its easy to follow.",5,4,2,Very Positive
209,"The first three weeks focussed heavily on ratios and detecting fraud and earnings management in an organization, the fourth week seemed to actually relate to data analytics and how non-financial aspects of a company play a role in the financial outcomes. I really do not see where a data analyst who is not in accounting field would be using the fraud detection scenarios in real life. A data analyst would be focused on improving the business and doing the analyses that pertain to improving certain aspects of a business, not finding his manager's earnings management using an M-score etc.",3,2,1,Neutral
210,It was very well done and very informational. Thanks again professors for your dedication and time to educate society!,4,3,2,Positive
211,My major is accounting but I still felt that it was so difficult. But I learned some knowlege which our teachers didn't tell me. Thanks!,5,4,2,Very Positive
212,Departments rigidity to information sharing as an ailment at middle and lower organizational levels was a notable issue,5,4,2,Very Positive
213,"This course made me look at Accounting in a very different way; instead of common business schedules, it actually became exciting to read and find out what was really going on!",5,4,2,Very Positive
214,Most fruitful course for the most updated Accounting Analytics,5,4,2,Very Positive
215,Very informative and interactive. I like the style of Professor Bushee's classroom teaching,4,3,2,Positive
216,"I believe that it is a fantastic course for those have some basic accounting knowledge and the willingness to enter compliance area. More importantly, the concept linking financial and non-financial decisions are also fantastic to bring accounting to life! I do love both professors in the module!",5,4,2,Very Positive
217,great accounting ratio analysis,5,4,2,Very Positive
218,Good overview on Financial Analytics!,4,3,2,Positive
219,"This was very challenging course for me... I felt you needed a strong knowledge base of financial statements to really understand what triggers potential fraud, deception. I think I will need to re-review the course material to reinforce the concepts. Thanks!",5,4,2,Very Positive
220,Focus of first 3 week is more of an audit analytics material. Quiz material could have been more interactive. Overall OK course.,4,3,2,Positive
221,"An excellent course with Professor Bushee, as always (I completed a previous ten weeks course with him, also a superb quality programme of study), very practical, focused and complete, and absolutely enjoyable.",5,4,2,Very Positive
222,"Interesting course. Motivating instructors. Tests were sometimes a bit too much about semantics and too little about applying knowledge in a practical way (which the course intro hinted on). But it was good value, manageable next to job and private life and fun to do. You won't regret it.",4,3,2,Positive
223,This has been a challenging course for a person that doesn't have any accounting experience,4,3,2,Positive
224,"Professors need to undergo a presentation and Instruction Design skills. They were talking a lot and everything was going over my head, the reason was there were not visual prompt for the examples, specifically in the last week.",1,0,0,Very Negative
225,Excellent overview of identification of problems in financial statements,5,4,2,Very Positive
226,"This is an excellent course, especially for someone with near zero knowledge of financial statements and their analysis. The concepts are clearly presented, with interesting details and supporting examples of their use. The inane comments by cartoon characters using poorly simulated accents is only mildly irritating.",4,3,2,Positive
227,Interesting course with good and clear explanation. Easy to understand and with fun!Thank you!,5,4,2,Very Positive
228,Very clear. Excellent instructor and it's free if you don't pay for the cert! Can you have a better class experience? Thank you Prof. Bushee!,5,4,2,Very Positive
